BusStationName,Latitude,Longitude
"Manu Vana Vijayanagara,VIJAYANAGARA,BESIDE STATE BANK INDIA",12.974431,77.54451
Magadi Road Dasarahalli,12.978892,77.540658
KHB Colony,12.981106,77.535581
Kamakshipalya,12.984323,77.528033
"Summanahalli Magadi Road,SUMANAHALLI,UNDER THE FLYOVER",12.987259,77.519228
Kottige Palya Magadi Road,12.987814,77.515347
"Aralimara Sunkadakatte,SUNKADA KATTE,OPPOSITE OF STATE BANK OF MYSORE",12.992052,77.504588
"Vigneshwara Nagara,SUNKADA KATTE,IN FRONT OF SALLAPURADAMMA TEMPLE",12.994356,77.504171
"Neelagiri Thopu,SUNKADA KATTE,IN FRONT OF S.S.K.CHOULTRY",12.996029,77.502476
"Hegganahalli Cross,HEGGANA HALLI,OPPOSITE OF AMBIKA BAKERY & SWEETS",12.999754,77.503956
"Hegganahalli,HEGGANA HALLI,OPPOSITE OF HODAY BADRIYA",13.005405,77.505071
"Dairy Hegganahalli,HEGGANA HALLI,IN FRONT OF I.I.F.L.GOLD LOAN",13.007932,77.505535
Uttarahalli,12.908743,77.536099
"Channasandra,CHANASANDRA,IN FRONT OF ANNAPOORNA RETAIL PVT LTD",12.903172,77.521166
"BEML Layout 5th Stage,B.E.M.L. GATE LAYOUT,BESIDE PAVAN ELECTRICALS & HARDWARE SHOP",12.909728,77.520944
"Double Road,B.E.M.L. DOUBLE ROAD CIRCLE,OPPOSITE OF SMART SUPER MARKET",12.914756,77.520609
"BEML Complex,B.E.M.L. LAYOUT 3RD STAGE,OPPOSITE OF RAMANJANEYA TEMPLE &amp; B.E.M.L. COMPLEX",12.919581,77.520303
"BEML Gate,B.E.M.L. LAYOUT 3RD STAGE,IN FRONT OF RAJESHWARI NAGARA, RESIDENTS WELFARE ASSOCIATION",12.922734,77.518326
"Ideal Homes,RAJA RAJESHWARI NAGARA,IN FRONT OF NIMISHAMBHA DEVI TEMPLE",12.924834,77.517853
"Raja Rajeshwari Temple,RAJESHWARI NAGARA,BESIDE RAJA RAJESHWARI TEMPLE",12.927169,77.511098
"RRSchool,IN FRONT OF RAJESHWARI SCHOOL",12.928396,77.514171
"PETROL BUNK,RAJA RAJESHWARI NAGARA,OPPOSITE OF INDIAN OIL PETROL BUNK",12.932986,77.516183
Rajarajeshwarinagara Gate,12.936191,77.516395
"Bangalore Univercity Gate Mysore Road,MYSORE ROAD,IN FRONT OF UNIVERSITY GATE, RAILWAY BRIDGE",12.935953,77.512656
"Ladies Hostel University Campus,BANGALORE UNIVERSITY,IN FRONT OF CIVIL ENGINEERING DEPARTMENT UNIVERSITY",12.942136,77.505644
"Library University,BANGALORE UNIVERSITY,IN FRONT OF MUNESHWARA SWAMY TEMPLE",12.943827,77.504499
"Bangalore University Administrative Block,BANGALORE UNIVERSITY,NEAR HEAD OFFICE BANGALORE UNIVERSITY",12.949064,77.501061
University Quarters,12.95176,77.50015
Koli Farm University Quatres,12.95199,77.49796
Press Layout Ullal Road,12.95035,77.49131
Amma ashrama cross,12.94946,77.48908
Vidyanikethan Public School,12.95061,77.48675
Manganahalli Cross,12.95135,77.48446
Hullalu,12.95551,77.48018
Hullala Bar Stop,12.961506,77.478696
Hullala Upanagara,12.96243,77.47524
"Kengeri Satelite Town,KENGERI UPANAGARA,IN FRONT OF KARUNA BAKERES & SWEETS",12.92251,77.486142
Railway Station Kengeri,12.922373,77.48444
Jn of Kommaghatta Road,12.916115,77.482184
Ganesha Temple,12.912295,77.480735
Kengeri Police Station,12.910483,77.48319
Kengeri TTMC,12.913909,77.486301
Mylasandra Gate,12.918566,77.491016
RV College,12.925494,77.499366
Jayaram Das Factory,12.930947,77.506093
Bangalore University Gate Mysore Road,12.935799,77.513344
Shanthinagar TTMC,12.95407,77.592986
Jambu Savari Dinne,12.865782,77.581003
"Surabhi,J.P.NAGARA 8TH PHASE, SURABHI NAGARA,IN FRONT OF VINAYAKA TIMBERS",12.867737,77.581841
"B K Circle,J.P.NAGARA 8TH PHASE,IN FRONT OF UNIVERSAL GRANITES",12.870691,77.583144
"Kothnuru Kanakapura Road,J.P.NAGARA 8TH PHASE,IN FRONT OF GANESHA TEMPLE",12.877622,77.58392
"Navodaya Nagara,NAVODAYA NAGARA,OPPOSITE OF VISHWAS SHOPPING CENTRE",12.881273,77.583725
"Gourav Nagara,GOWRAVA NAGARA,IN FRONT OF KANISHKA DIAGNOSTIC",12.884636,77.582574
"RBI Layout,R.B.I.LAYOUT,IN FRONT OF SOMESHWARA SABHA BHAVANA",12.888037,77.581848
"Brigade Millanium,R.B.I.LAYOUT,IN FRONT OF APOLLO PHARMACY",12.892089,77.581819
"Puttenahalli,PUTTENAHALLI,IN FRONT OF NANJUNDESHWARA TEMPLE",12.898119,77.582444
CV Raman Nagara,12.985659,77.664126
"CGHS Nagavar Palya,C.V.RAMAN NAGARA,OPPOSITE OF PLAY GROUND",12.987177,77.662351
"DRDO Qts,C.V.RAMAN NAGARA,IN FRONT OF MES SERVICE CENTER NO-1",12.984535,77.661331
"LRDE,C.V.RAMAN NAGARA,IN FRONT OF ELECTRONIC & RADAR DEVELOPMENT ESTABLISMENT",12.980701,77.656734
"GTRE,HAL 3RD STAGE,BESIDE BEML LIMITED BANGALORE COMPLEX",12.97587,77.65566
"BEML Gate,BEML,OPPOSITE OF BEML LIMITED",12.971157,77.659113
"Jn of Suranjandas Road,HAL 3RD STAGE,IN FRONT OF STATE BANK OF INDIA",12.966718,77.661282
Jeevan Bheema Nagar,12.96721,77.65797
"Jeevanbhimanagara Petrol Bunk,HAL 3RD STAGE,BESIDE OF INDIAN OIL PETROL BANK",12.96757,77.654695
"Kodihalli,HAL 3RD STAGE WARD-58,OPPOSITE OF ICICI BANK",12.968474,77.649942
"Tippasandra,HAL 2ND STAGE,OPPOSITE OF COLUMBIA ASIA",12.973656,77.646826
"Chinmaya Mission Hospital,INDIRANAGARA,BESIDE CHINMAYA HOSPITAL",12.978449,77.646059
"Thambuchetty Palya,T.C.PALYA,OPPOSITE OF ANTHONY COMPOSITE P.U COLLEGE",13.021441,77.700119
"Anandapura,ANANDAPURA,IN FRONT OF NATIONAL BAKERY & SWEETS",13.024102,77.692949
Bhakthi Yoga Ashrama,13.021965,77.687973
"Akshya Nagara,AKSHAYA NAGARA,IN FRONT OF IDEAL MART SUPER MARKET",13.020625,77.683518
"Koudenahalli Cross,RAMAMURTHI NAGARA,IN FRONT OF BHAGYALAKSHMI GLASS & PLY WOODS",13.021172,77.679066
"Muneshwara Layout,RAMAMURTHI NAGARA,IN FRONT OF J.M.J.CYBER CENTER",13.018154,77.671852
"B Channasandra Bridge,RAMAMURTHI NAGARA,BESIDE RAILWAY BRIDGE",13.013023,77.66275
"Kasthurinagara,KASTURI NAGARA,IN FRONT OF SPENCERS",13.002616,77.661218
"Bennigana Halli,KASTURI NAGARA,IN FRONT OF AUXILIARY PANEL CHANNASANDRA BYPASS",12.997113,77.662865
"NGEF Ground,SADANANDA NAGARA,OPPOSITE OF N.G.E.F.FACTORY",12.991815,77.651628
Isolation Hospital,12.984884,77.64322
"Binnamangala,INDIRANAGARA,OPPOSITE OF LEO MOTORS, MARUTI SUZUKI",12.983637,77.640682
"Indiranagar Police Station,INDIRA NAGARA,BESIDE WILLS LIFE STYLE & SYNDICATE BANK",12.976971,77.641068
"Indiranagar 6th main,INDIRA NAGARA,BESIDE E.ZONE",12.974064,77.641166
